direction,mode,seed,subject_id,session_id,MACC
MMPD_PURE,none,100,8,801,0.8245422144924368
MMPD_PURE,none,100,8,802,0.6638438832153974
MMPD_PURE,none,100,8,803,0.8011472429257956
MMPD_PURE,none,100,8,804,0.8008100031777363
MMPD_PURE,none,100,8,805,0.633365961030603
MMPD_PURE,none,100,8,806,0.7963269769495068
MMPD_PURE,none,100,9,901,0.8851721593688548
MMPD_PURE,none,100,9,902,0.6221613081268665
MMPD_PURE,none,100,9,903,0.8204171534769316
MMPD_PURE,none,100,9,904,0.7930127487070523
MMPD_PURE,none,100,9,905,0.8456631302998829
MMPD_PURE,none,100,9,906,0.8363576599865611
MMPD_PURE,none,202,10,1001,0.7257616753995197
MMPD_PURE,none,202,10,1002,0.40465679441056296
MMPD_PURE,none,202,10,1003,0.6691723321824684
MMPD_PURE,none,202,10,1004,0.6149220614903415
MMPD_PURE,none,202,10,1005,0.7692711965606602
MMPD_PURE,none,202,10,1006,0.7922661240827603
MMPD_PURE,none,202,1,101,0.6714790014300757
MMPD_PURE,none,202,1,102,0.562860904776922
MMPD_PURE,none,202,1,103,0.6443675131173511
MMPD_PURE,none,202,1,104,0.7610068420035742
MMPD_PURE,none,202,1,105,0.6567797798714792
MMPD_PURE,none,202,1,106,0.7801435697263185
MMPD_PURE,none,202,2,201,0.8180618097277135
MMPD_PURE,none,202,2,202,0.6082585793859675
MMPD_PURE,none,202,2,203,0.767980001263103
MMPD_PURE,none,202,2,204,0.7211041696990645
MMPD_PURE,none,202,2,205,0.7936275395253044
MMPD_PURE,none,202,2,206,0.861731312617732
MMPD_PURE,none,202,3,301,0.7090822486316194
MMPD_PURE,none,202,3,302,0.7576639466435741
MMPD_PURE,none,202,3,303,0.46497813004240557
MMPD_PURE,none,202,3,304,0.35841196505988493
MMPD_PURE,none,202,3,305,0.559407268420796
MMPD_PURE,none,202,3,306,0.6240302946000954
MMPD_PURE,none,202,4,401,0.3861939541323964
MMPD_PURE,none,202,4,402,0.7436386277037822
MMPD_PURE,none,202,4,403,0.7034773855603564
MMPD_PURE,none,202,4,404,0.6542344699623116
MMPD_PURE,none,202,4,405,0.7977935965431577
MMPD_PURE,none,202,4,406,0.7139050936063565
MMPD_PURE,none,202,5,501,0.766931350690304
MMPD_PURE,none,202,5,502,0.19959971766654117
